url,depart,arrive,cabin
"https://www.google.com/travel/flights/search?tfs=CBwQAhoiEgoyMDI1LTEwLTAxMgJXWWoHCAESA0xIUnIHCAESA01DVBoiEgoyMDI1LTEwLTA1MgJXWWoHCAESA01DVHIHCAESA0xIUkABSAFwAYIBCwj___________8BmAEB&hl=en&gl=IN&curr=USD",LHR,MCT,ECO
"https://www.google.com/travel/flights/search?tfs=CBwQAhoiEgoyMDI1LTEwLTAxMgJXWWoHCAESA0ZSQXIHCAESA01DVBoiEgoyMDI1LTEwLTA1MgJXWWoHCAESA01DVHIHCAESA0ZSQUABSAFwAYIBCwj___________8BmAEB&hl=en&gl=IN&curr=USD",FRA,MCT,ECO
"https://www.google.com/travel/flights/search?tfs=CBwQAhoiEgoyMDI1LTEwLTAxMgJXWWoHCAESA01VQ3IHCAESA01DVBoiEgoyMDI1LTEwLTA1MgJXWWoHCAESA01DVHIHCAESA01VQ0ABSAFwAYIBCwj___________8BmAEB&hl=en&gl=IN&curr=USD",MUC,MCT,ECO
"https://www.google.com/travel/flights/search?tfs=CBwQAhoiEgoyMDI1LTEwLTAxMgJXWWoHCAESA1pSSHIHCAESA01DVBoiEgoyMDI1LTEwLTA1MgJXWWoHCAESA01DVHIHCAESA1pSSEABSAFwAYIBCwj___________8BmAEB&hl=en&gl=IN&curr=USD",ZRH,MCT,ECO
"https://www.google.com/travel/flights/search?tfs=CBwQAhoiEgoyMDI1LTEwLTAxMgJXWWoHCAESA01YUHIHCAESA01DVBoiEgoyMDI1LTEwLTA1MgJXWWoHCAESA01DVHIHCAESA01YUEABSAFwAYIBCwj___________8BmAEB&hl=en&gl=IN&curr=USD",MXP,MCT,ECO
"https://www.google.com/travel/flights/search?tfs=CBwQAhoiEgoyMDI1LTEwLTAxMgJXWWoHCAESA01BTnIHCAESA01DVBoiEgoyMDI1LTEwLTA1MgJXWWoHCAESA01DVHIHCAESA01BTkABSAFwAYIBCwj___________8BmAEB&hl=en&gl=IN&curr=USD",MAN,MCT,ECO
"https://www.google.com/travel/flights/search?tfs=CBwQAhoiEgoyMDI1LTEwLTAxMgJXWWoHCAESA0JLS3IHCAESA01DVBoiEgoyMDI1LTEwLTA1MgJXWWoHCAESA01DVHIHCAESA0JLS0ABSAFwAYIBCwj___________8BmAEB&hl=en&gl=IN&curr=USD",BKK,MCT,ECO
"https://www.google.com/travel/flights/search?tfs=CBwQAhoiEgoyMDI1LTEwLTAxMgJXWWoHCAESA0NBTnIHCAESA01DVBoiEgoyMDI1LTEwLTA1MgJXWWoHCAESA01DVHIHCAESA0NBTkABSAFwAYIBCwj___________8BmAEB&hl=en&gl=IN&curr=USD",CAN,MCT,ECO
"https://www.google.com/travel/flights/search?tfs=CBwQAhoiEgoyMDI1LTEwLTAxMgJXWWoHCAESA0NHS3IHCAESA01DVBoiEgoyMDI1LTEwLTA1MgJXWWoHCAESA01DVHIHCAESA0NHS0ABSAFwAYIBCwj___________8BmAEB&hl=en&gl=IN&curr=USD",CGK,MCT,ECO
"https://www.google.com/travel/flights/search?tfs=CBwQAhoiEgoyMDI1LTEwLTAxMgJXWWoHCAESA0tVTHIHCAESA01DVBoiEgoyMDI1LTEwLTA1MgJXWWoHCAESA01DVHIHCAESA0tVTEABSAFwAYIBCwj___________8BmAEB&hl=en&gl=IN&curr=USD",KUL,MCT,ECO
"https://www.google.com/travel/flights/search?tfs=CBwQAhoiEgoyMDI1LTEwLTAxMgJXWWoHCAESA01OTHIHCAESA01DVBoiEgoyMDI1LTEwLTA1MgJXWWoHCAESA01DVHIHCAESA01OTEABSAFwAYIBCwj___________8BmAEB&hl=en&gl=IN&curr=USD",MNL,MCT,ECO
