url,depart,arrive,cabin
https://www.google.com/travel/flights/search?tfs=CBwQAhoiEgoyMDI1LTExLTE5MgJHRmoHCAESA0NBSXIHCAESA0JBSBoiEgoyMDI1LTExLTI2MgJHRmoHCAESA0JBSHIHCAESA0NBSUABSAFwAYIBCwj___________8BmAEB&curr=USD,CAI,BAH,Economy
https://www.google.com/travel/flights/search?tfs=CBwQAhoiEgoyMDI1LTExLTE5MgJHRmoHCAESA0JBSHIHCAESA01DVBoiEgoyMDI1LTExLTI2MgJHRmoHCAESA01DVHIHCAESA0JBSEABSAFwAYIBCwj___________8BmAEB&curr=USD,BAH,MCT,Economy
https://www.google.com/travel/flights/search?tfs=CBwQAhoiEgoyMDI1LTExLTE5MgJHRmoHCAESA01DVHIHCAESA0JBSBoiEgoyMDI1LTExLTI2MgJHRmoHCAESA0JBSHIHCAESA01DVEABSAFwAYIBCwj___________8BmAEB&curr=USD,MCT,BAH,Economy
https://www.google.com/travel/flights/search?tfs=CBwQAhoiEgoyMDI1LTExLTE5MgJHRmoHCAESA0JLS3IHCAESA0JBSBoiEgoyMDI1LTExLTI2MgJHRmoHCAESA0JBSHIHCAESA0JLS0ABSAFwAYIBCwj___________8BmAEB&curr=USD,BKK,BAH,Economy
https://www.google.com/travel/flights/search?tfs=CBwQAhoiEgoyMDI1LTExLTE5MgJHRmoHCAESA0JBSHIHCAESA0JLSxoiEgoyMDI1LTExLTI2MgJHRmoHCAESA0JLS3IHCAESA0JBSEABSAFwAYIBCwj___________8BmAEB&curr=USD,BAH,BKK,Economy
https://www.google.com/travel/flights/search?tfs=CBwQAhoiEgoyMDI1LTExLTE5MgJHRmoHCAESA0JBSHIHCAESA0RBQxoiEgoyMDI1LTExLTI2MgJHRmoHCAESA0RBQ3IHCAESA0JBSEABSAFwAYIBCwj___________8BmAEB&curr=USD,BAH,DAC,Economy
https://www.google.com/travel/flights/search?tfs=CBwQAhoiEgoyMDI1LTExLTE5MgJHRmoHCAESA0RBQ3IHCAESA0JBSBoiEgoyMDI1LTExLTI2MgJHRmoHCAESA0JBSHIHCAESA0RBQ0ABSAFwAYIBCwj___________8BmAEB&curr=USD,DAC,BAH,Economy
https://www.google.com/travel/flights/search?tfs=CBwQAhoiEgoyMDI1LTExLTE5MgJHRmoHCAESA0pFRHIHCAESA0RBQxoiEgoyMDI1LTExLTI2MgJHRmoHCAESA0RBQ3IHCAESA0pFREABSAFwAYIBCwj___________8BmAEB&curr=USD,JED,DAC,Economy
https://www.google.com/travel/flights/search?tfs=CBwQAhoiEgoyMDI1LTExLTE5MgJHRmoHCAESA0RBQ3IHCAESA0pFRBoiEgoyMDI1LTExLTI2MgJHRmoHCAESA0pFRHIHCAESA0RBQ0ABSAFwAYIBCwj___________8BmAEB&curr=USD,DAC,JED,Economy
https://www.google.com/travel/flights/search?tfs=CBwQAhoiEgoyMDI1LTExLTE5MgJHRmoHCAESA0JPTXIHCAESA0JBSBoiEgoyMDI1LTExLTI2MgJHRmoHCAESA0JBSHIHCAESA0JPTUABSAFwAYIBCwj___________8BmAEB&curr=USD,BOM,BAH,Economy
https://www.google.com/travel/flights/search?tfs=CBwQAhoiEgoyMDI1LTExLTE5MgJHRmoHCAESA0JBSHIHCAESA0JPTRoiEgoyMDI1LTExLTI2MgJHRmoHCAESA0JPTXIHCAESA0JBSEABSAFwAYIBCwj___________8BmAEB&curr=USD,BAH,BOM,Economy
https://www.google.com/travel/flights/search?tfs=CBwQAhoiEgoyMDI1LTExLTE5MgJHRmoHCAESA0JBSHIHCAESA0FNTRoiEgoyMDI1LTExLTI2MgJHRmoHCAESA0FNTXIHCAESA0JBSEABSAFwAYIBCwj___________8BmAEB&curr=USD,BAH,AMM,Economy
https://www.google.com/travel/flights/search?tfs=CBwQAhoiEgoyMDI1LTExLTE5MgJHRmoHCAESA0FNTXIHCAESA0JBSBoiEgoyMDI1LTExLTI2MgJHRmoHCAESA0JBSHIHCAESA0FNTUABSAFwAYIBCwj___________8BmAEB&curr=USD,AMM,BAH,Economy
https://www.google.com/travel/flights/search?tfs=CBwQAhoiEgoyMDI1LTAzLTEyMgJHRmoHCAESA01MRXIHCAESA0NNQhoiEgoyMDI1LTAzLTIwMgJHRmoHCAESA0NNQnIHCAESA01MRUABSAFwAYIBCwj___________8BmAEB&curr=USD,MLE,CMB,Economy
