url,depart,arrive,cabin
https://www.google.com/travel/flights/search?tfs=CBwQAhoiEgoyMDI1LTExLTE5MgJHRmoHCAESA0JBSHIHCAESA0tXSRoiEgoyMDI1LTExLTI2MgJHRmoHCAESA0tXSXIHCAESA0JBSEABSAFwAYIBCwj___________8BmAEB&curr=USD,BAH,KWI,Economy
https://www.google.com/travel/flights/search?tfs=CBwQAhoiEgoyMDI1LTExLTE5MgJHRmoHCAESA0tXSXIHCAESA0JBSBoiEgoyMDI1LTExLTI2MgJHRmoHCAESA0JBSHIHCAESA0tXSUABSAFwAYIBCwj___________8BmAEB&curr=USD,KWI,BAH,Economy
https://www.google.com/travel/flights/search?tfs=CBwQAhoiEgoyMDI1LTExLTE5MgJHRmoHCAESA1JVSHIHCAESA0JBSBoiEgoyMDI1LTExLTI2MgJHRmoHCAESA0JBSHIHCAESA1JVSEABSAFwAYIBCwj___________8BmAEB&curr=USD,RUH,BAH,Economy
https://www.google.com/travel/flights/search?tfs=CBwQAhoiEgoyMDI1LTExLTE5MgJHRmoHCAESA0JBSHIHCAESA1JVSBoiEgoyMDI1LTExLTI2MgJHRmoHCAESA1JVSHIHCAESA0JBSEABSAFwAYIBCwj___________8BmAEB&curr=USD,BAH,RUH,Economy
https://www.google.com/travel/flights/search?tfs=CBwQAhoiEgoyMDI1LTExLTE5MgJHRmoHCAESA0FVSHIHCAESA0JBSBoiEgoyMDI1LTExLTI2MgJHRmoHCAESA0JBSHIHCAESA0FVSEABSAFwAYIBCwj___________8BmAEB&curr=USD,AUH,BAH,Economy
https://www.google.com/travel/flights/search?tfs=CBwQAhoiEgoyMDI1LTExLTE5MgJHRmoHCAESA0JBSHIHCAESA0FVSBoiEgoyMDI1LTExLTI2MgJHRmoHCAESA0FVSHIHCAESA0JBSEABSAFwAYIBCwj___________8BmAEB&curr=USD,BAH,AUH,Economy
https://www.google.com/travel/flights/search?tfs=CBwQAhoiEgoyMDI1LTExLTE5MgJHRmoHCAESA0JBSHIHCAESA0pFRBoiEgoyMDI1LTExLTI2MgJHRmoHCAESA0pFRHIHCAESA0JBSEABSAFwAYIBCwj___________8BmAEB&curr=USD,BAH,JED,Economy
https://www.google.com/travel/flights/search?tfs=CBwQAhoiEgoyMDI1LTExLTE5MgJHRmoHCAESA0RPSHIHCAESA0JBSBoiEgoyMDI1LTExLTI2MgJHRmoHCAESA0JBSHIHCAESA0RPSEABSAFwAYIBCwj___________8BmAEB&curr=USD,DOH,BAH,Economy
https://www.google.com/travel/flights/search?tfs=CBwQAhoiEgoyMDI1LTExLTE5MgJHRmoHCAESA0JBSHIHCAESA0lTVBoiEgoyMDI1LTExLTI2MgJHRmoHCAESA0lTVHIHCAESA0JBSEABSAFwAYIBCwj___________8BmAEB&curr=USD,BAH,IST,Economy
https://www.google.com/travel/flights/search?tfs=CBwQAhoiEgoyMDI1LTExLTE5MgJHRmoHCAESA0JBSHIHCAESA0RPSBoiEgoyMDI1LTExLTI2MgJHRmoHCAESA0RPSHIHCAESA0JBSEABSAFwAYIBCwj___________8BmAEB&curr=USD,BAH,DOH,Economy
